,osmid,geometry,fclass,name
1356,354239185,POINT (-87.6206042 41.7525342),place_of_worship,Greater Institutional African Methodist Episcopal Church
1357,354239190,POINT (-87.6203251 41.6922566),place_of_worship,Greater House of God
1358,354239195,POINT (-87.7681132 41.8886429),place_of_worship,Greater Holy Temple Church of God in Christ
1359,354239201,POINT (-87.6967217 41.885588),place_of_worship,Greater Holy Temple Church of God and Christ
1360,354239212,POINT (-87.6433827 41.7505895),place_of_worship,In God We Trust Union
1361,354239217,POINT (-87.7286678 41.9058653),school,Incarnation Head Start Center
1362,354239223,POINT (-87.7286677 41.9055876),place_of_worship,Incarnation Lutheran Church
1363,354239229,POINT (-87.7208887 41.8711434),place_of_worship,Independence Boulevard Seventh Day Adventist Church
1364,354239251,POINT (-87.7128326 41.860588),place_of_worship,Greater Faith Temple Church of God in Christ
1365,354239297,POINT (-87.7194361 41.8626774),fountain,Independence Square Fountain
1366,354239313,POINT (-87.6256033 41.7005899),place_of_worship,International Deliverance Center Church of God in Christ
1367,354239330,POINT (-87.7647798 41.8953096),place_of_worship,Inspirational Deliverance Center Church of God in Christ
1368,354239336,POINT (-87.7053325 41.8650325),place_of_worship,Instant Deliverance Church of God in Christ
1369,354239349,POINT (-87.6706087 41.8528106),place_of_worship,Iglesia Casa de Dias
1370,354239354,POINT (-87.6517192 41.8564219),place_of_worship,Iglesia Evangelica Menonite
1371,354239368,POINT (-87.675331 41.8505884),place_of_worship,Iglesia de Dios Septimo Dia
1372,354239400,POINT (-87.6258814 41.7211453),place_of_worship,Grace Temple Church of God Established in Christ
1373,354239418,POINT (-87.7956155 41.936698),place_of_worship,Grace Evangelical Free Church
1374,354239429,POINT (-87.6956112 41.9125322),place_of_worship,Iglesia Azianza Christiana y Misionera Hispana
1375,354239445,POINT (-87.6253277 41.7933671),place_of_worship,Granderson Temple Church of God in Christ
1376,354239468,POINT (-87.7267215 41.8408657),place_of_worship,Grace Lutheran Church
1377,354239501,POINT (-87.6045527 41.8210215),place_of_worship,Grant Memorial African Methodist Episcopal Church
1378,354239512,POINT (-87.6589389 41.7517005),place_of_worship,Grace-Calvary United Methodist Church
