,osmid,geometry,fclass,name
12615,1704365976,POINT (-73.8895263 40.7489962),supermarket,Met Supermarket
12616,1704369768,POINT (-73.8905509 40.7493295),supermarket,Trade Fair
12617,1704369772,POINT (-73.8888611 40.7495936),cafe,Espresso 77
12618,1704373225,POINT (-73.8891934 40.7533572),marketplace,Farmer's Market (Sundays)
12619,1705290529,POINT (-73.7895972 40.5945908),marina,Marina 59
12620,1706037451,POINT (-73.982172 40.7555936),bar,Forty Four
12621,1706038616,POINT (-73.9824831 40.7557338),cafe,Gregory Coffee
12622,1706051592,POINT (-73.9823304 40.7556649),parking,Hippodrome Parking
12623,1706052165,POINT (-73.9826925 40.755226),parking,Hippodrome Parking
12624,1706057512,POINT (-73.9845995 40.7552179),atm,
12625,1707191741,POINT (-73.9198546 40.7451888),supermarket,Met Foods
12626,1707193837,POINT (-73.9191251 40.7448748),pharmacy,Rite Aid
12627,1707788478,POINT (-74.1276837 40.5435016),slipway,
12628,1707825812,POINT (-73.9958845 40.7537238),restaurant,
12629,1707825813,POINT (-73.9954927 40.7543377),restaurant,
12630,1707825814,POINT (-73.9951869 40.7547316),convenience,
12631,1707825815,POINT (-73.9953803 40.7545),restaurant,
12632,1707825816,POINT (-73.996877 40.7535003),restaurant,
12633,1707825817,POINT (-73.9957555 40.7539148),restaurant,
12634,1707825818,POINT (-73.9956112 40.7541544),laundry,
12635,1707825819,POINT (-73.9961259 40.7534313),convenience,
12636,1707825820,POINT (-73.9967536 40.7529396),restaurant,
12637,1707825821,POINT (-73.9948439 40.7538214),hotel,Tryp by Wyndham
12638,1707825822,POINT (-73.9954393 40.7544228),restaurant,
12639,1707825823,POINT (-73.9955359 40.7542643),convenience,
12640,1707825824,POINT (-73.9965712 40.7531752),bar,
12641,1707825825,POINT (-73.9932989 40.7539758),hotel,Doubletree by Hilton
12642,1707825826,POINT (-73.9958041 40.753289),fast_food,Subway
12643,1707826190,POINT (-73.9953157 40.7498509),supermarket,
12644,1707826922,POINT (-73.9898979 40.7522568),fast_food,
12645,1707846570,POINT (-73.9812333 40.728933),cafe,Table 12
12646,1707857407,POINT (-73.9838384 40.7317369),fast_food,Artichoke
12647,1708709547,POINT (-74.2066129 40.5429384),restaurant,Woodrow Diner
12648,1708713022,POINT (-74.2061865 40.5426),restaurant,Goodfella's Pizzeria
12649,1708716188,POINT (-74.2079138 40.5426469),convenience,Christopher's of Woodrow
12650,1708719691,POINT (-73.9123031 40.7700494),laundry,Laudromat
12651,1708721821,POINT (-73.9121422 40.7701266),bar,Albatross Bar
12652,1708724065,POINT (-74.2078172 40.5427713),restaurant,Sunset Pizza
12653,1708725500,POINT (-74.2077287 40.5427957),restaurant,Islander Taste Chinese Restaurant
12654,1708727865,POINT (-74.2067497 40.5429567),restaurant,Pio Hot Bagels
12655,1708729056,POINT (-74.2071252 40.5429404),fishmonger,Rossville Fish Market
12656,1708729794,POINT (-74.2070662 40.542916),restaurant,Dunkin Donuts
12657,1708731106,POINT (-74.206342 40.5426306),confectionery,Edible Arrangements
12658,1708732296,POINT (-74.2072164 40.5429364),restaurant,McDonalds
12659,1708734899,POINT (-74.2077743 40.5427896),pharmacy,Woodrow Pharmacy
12660,1708738151,POINT (-74.2068463 40.5429364),gift,Cards Corner II
12661,1708863540,POINT (-74.144145 40.6302543),place_of_worship,New York Pentecostal Assembly Staten Island
12662,1714427541,POINT (-73.9990887 40.7335053),restaurant,Neta
12663,1716273713,POINT (-73.9785863 40.7632838),jewelry,Appraisers WorldWide Jewelry Appraiser Gemologist
12664,1725365402,POINT (-73.9800094 40.681476),sports_centre,C1 MMA & CrossFit
12665,1727893387,POINT (-73.9389256 40.7675529),hypermarket,costco
12666,1727980108,POINT (-73.9224259 40.7798067),drinking_water,
12667,1727980111,POINT (-73.9224925 40.7798153),toilets,
12668,1727980112,POINT (-73.9223885 40.7798608),playground,
12669,1728012242,POINT (-73.9157856 40.7726801),school,Czech & Slovak School
12670,1728012263,POINT (-73.916928 40.7718746),drinking_water,
12671,1728189753,POINT (-74.0167304 40.7158115),drinking_water,
12672,1728189756,POINT (-74.0167125 40.7159995),drinking_water,
12673,1728189758,POINT (-74.0161467 40.7168721),toilets,
12674,1728266949,POINT (-73.9755512 40.7365931),playground,
12675,1728266959,POINT (-73.9753536 40.7366895),drinking_water,
12676,1728538815,POINT (-74.0095903 40.706864),supermarket,Send A Package Inc.
12677,1735683919,POINT (-74.0122072 40.7029049),fast_food,McDonald's
12678,1737296818,POINT (-74.0130416 40.7187923),drinking_water,
12679,1737296851,POINT (-74.0126859 40.7200582),toilets,
12680,1737296858,POINT (-74.0131468 40.7200966),playground,
12681,1737296859,POINT (-74.0137224 40.7201296),kiosk,
12682,1737296860,POINT (-74.0138514 40.7201455),miniature_golf,
12683,1737296870,POINT (-74.0133112 40.7202989),drinking_water,
12684,1737296882,POINT (-74.0151167 40.7205521),drinking_water,
12685,1737296888,POINT (-74.0162513 40.7206674),viewpoint,
12686,1739476471,POINT (-73.9835752 40.755917),fountain,
12687,1740682465,POINT (-73.9914011 40.7032153),confectionery,Jacques Torres Chocolates
