,osmid,geometry,fclass,name
2935,721035640,POINT (-77.0446203 38.9014977),fast_food,Baja Fresh
2936,721037852,POINT (-77.0451461 38.9005083),restaurant,Johnny Rocket
2937,721042132,POINT (-77.043701 38.902732),bank,BB&T
2938,721045810,POINT (-77.0435421 38.9032052),post_box,Mailbox
2939,721048804,POINT (-77.043644 38.9035099),shoes,Shoes By Lara
2940,721050296,POINT (-77.043644 38.9034473),doctors,Alase Hair Removal & Skin Aesthetics
2941,721053643,POINT (-77.043773 38.90395),stationery,Staples
2942,721059156,POINT (-77.0431936 38.9042676),sports,City Sports
2943,721060686,POINT (-77.043671 38.9044847),fast_food,Greek Deli
2944,721205640,POINT (-77.0623497 38.9050253),sports,SportsZone
2945,721669811,POINT (-77.0432258 38.9054824),cafe,Au Bon Pain
2946,721669814,POINT (-77.0432258 38.9053489),convenience,7-Eleven
2947,721669825,POINT (-77.0431936 38.9041925),photo,Passport Photos
2948,721669827,POINT (-77.0431936 38.9043971),office,Passport Office
2949,721669829,POINT (-77.043671 38.9046392),fast_food,Jonathan's Gourmet
2950,721669870,POINT (-77.043671 38.9045473),fast_food,Nooshi Carryout
2951,721670996,POINT (-77.0432068 38.9083135),pharmacy,CVS
2952,723375262,POINT (-77.0955435 38.9167649),pharmacy,CVS
2953,723386829,POINT (-77.0664523 38.9049477),home,Waterworks
