osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
357567468,POINT (-73.9184702 40.8131564),,,Junior High School 37,,school,,
357567471,POINT (-73.9806944 40.7356576),,,Junior High School 104,,school,,
357567474,POINT (-73.9537491 40.5834384),,,Junior High School 43,,school,,
357567478,POINT (-73.9554156 40.8156563),,,Junior High School 43 (historical),,school,,
357567481,POINT (-73.9781942 40.7809345),,,Middle School 44,,school,,
357567484,POINT (-73.9338175 40.7992052),,,Junior High School M045 John S Roberts,,school,,
357567488,POINT (-73.88722 40.85833),,,Middle School 45,,school,,
357567491,POINT (-73.9448601 40.7098248),,,Intermediate School 49,,school,,
357567494,POINT (-73.9599347 40.7118025),,,Junior High School 50,,school,,
357567499,POINT (-74.1448653 40.6228816),,,Intermediate School 51,,school,,
357567502,POINT (-73.9845834 40.6723255),,,Middle School 51,,school,,
357567504,POINT (-73.9065253 40.8203785),,,Junior High School 51,,school,,
357567508,POINT (-73.901803 40.8153786),,,Junior High School 52,,school,,
357567511,POINT (-73.9245812 40.8656555),,,Intermediate School 52,,school,,
357567514,POINT (-73.9626382 40.8003787),,,Middle School 54,,school,,
357567526,POINT (-73.9132809 40.6744311),,,K626 Achievement First Brownsville Charter School,,school,,
357567529,POINT (-73.9045808 40.8359337),,,Junior High School 55,,school,,
357567532,POINT (-73.9334009 40.6914595),,,Junior High School K057 Whitelaw Reid,,school,,
357567536,POINT (-73.75333 40.68194),,,Intermediate School 59,,school,,
357567539,POINT (-73.9909725 40.6848252),,,Junior High School 6,,school,,
357567542,POINT (-73.982639 40.7295465),,,Twelfth Street Academy,,school,,
357567545,POINT (-73.8984696 40.8201007),,,Junior High School 60,,school,,
357567549,POINT (-73.948749 40.6637146),,,Middle School 61,,school,,
357567552,POINT (-73.86306 40.74222),,,Intermediate School 61,,school,,
357567555,POINT (-73.8790248 40.673159),,,Junior High School 64,,school,,
357567559,POINT (-73.9934726 40.7162135),,,Intermediate School 131,,school,,
357567566,POINT (-73.7756886 40.6751034),,,Junior High School 72,,school,,
357567570,POINT (-73.9108059 40.680481),,,Junior High School 73,,school,,
357567573,POINT (-73.89361 40.72861),,,Intermediate School 73,,school,,
357567576,POINT (-73.76722 40.745),,,Middle School 74,,school,,
357567583,POINT (-73.78694 40.69694),,,Junior High School 8,,school,,
357567590,POINT (-73.9518045 40.8059341),,,Junior High School 81,,school,,
357567600,POINT (-73.9151366 40.8495446),,,Junior High School 82,,school,,
357567605,POINT (-73.9418042 40.7931567),,,Public School 83,,school,,
357567613,POINT (-73.9848806 40.6076271),,,Intermediate School 96,,school,,
357567623,POINT (-73.8906563 40.8361375),,,Intermediate School X098 Herman Ridder,,school,,
357567628,POINT (-73.9420821 40.7851012),,,Junior High School 99,,school,,
357567646,POINT (-73.8806915 40.7203803),,,Juniper Valley Park,park,,,
357567840,POINT (-73.81 40.79194),,,Public School 193,,school,,
357567932,POINT (-73.833468 40.7137138),,,Kew-Forest School,,school,,
357568026,POINT (-73.8040226 40.7034362),,,Rufus King Park,park,,,
357568073,POINT (-73.9437805 40.6567873),,,Kings County Hospital Center,,hospital,,
357568077,POINT (-73.9426377 40.6184377),,,Beth Israel Medical Center - Kings Highway Division,,hospital,,
