osmid,source,geometry,created_by,highway,amenity,education,ele,gnis:county_id,gnis:created
354111222,,POINT (-87.7595018 41.893643),,,school,,186,031,09/30/1999
354111263,,POINT (-87.7081102 41.8586436),,,school,,181,031,09/30/1999
354111307,,POINT (-87.5678242 41.7330904),,,school,,182,031,09/30/1999
354111325,,POINT (-87.6389422 41.8997549),,,,,178,031,01/15/1980
354111334,,POINT (-87.718664 41.7803107),,,school,,185,031,09/30/1999
354111442,,POINT (-87.7314444 41.8603101),,,school,,184,031,09/30/1999
354111766,,POINT (-87.6522748 41.8586441),,,school,,183,031,09/30/1999
354112130,,POINT (-87.6619974 41.8591996),,,school,,184,031,01/15/1980
354112347,,POINT (-87.7014437 41.8739213),,,school,,182,031,09/30/1999
354112397,,POINT (-87.6403311 41.9005883),,,school,,178,031,09/30/1999
354112537,,POINT (-87.7035206 41.861836),,,school,,180,031,09/30/1999
354112877,,POINT (-87.5850475 41.7575345),,,hospital,,182,031,01/15/1980
354113062,,POINT (-87.5331001 41.6986463),,,school,,179,031,09/30/1999
354113075,,POINT (-87.7008911 41.9841984),,,school,,181,031,09/30/1999
354113187,,POINT (-87.6537445 41.8710106),,,school,,181,031,09/30/1999
354113786,,POINT (-87.6683891 41.9550321),,,school,,183,031,01/15/1980
354114289,,POINT (-87.6514439 41.9483655),,,school,,181,031,09/30/1999
354114420,,POINT (-87.7106105 41.8647546),,,school,,182,031,01/15/1980
354114712,,POINT (-87.6830683 41.8716566),,,school,,181,031,09/30/1999
354114804,,POINT (-87.7300579 41.9503096),,,school,,183,031,09/30/1999
354115149,,POINT (-87.8480648 41.9671113),Potlatch 0.10f,,grave_yard,,192,031,01/15/1980
354115179,,POINT (-87.5492124 41.7308683),,,school,,180,031,01/15/1980
354115247,,POINT (-87.5522681 41.7361461),,,school,,180,031,01/15/1980
354115255,,POINT (-87.6933934 41.8132881),,,school,,182,031,01/15/1980
354115655,,POINT (-87.7192192 41.7664219),,,school,,188,031,09/30/1999
354115722,,POINT (-87.6228247 41.6672566),,,,,184,031,01/15/1980
354115878,,POINT (-87.657505 42.0002513),,,school,,180,031,01/15/1980
354115897,,POINT (-87.5672682 41.7133682),,,,,178,031,01/15/1980
354115906,,POINT (-87.5672682 41.7144793),,,school,,178,031,09/30/1999
354115920,,POINT (-87.5753248 41.7519791),,,school,,180,031,01/15/1980
354116005,,POINT (-87.6253256 41.7047565),,,school,,183,031,01/15/1980
354116014,,POINT (-87.6575527 41.8550329),,,school,,181,031,01/15/1980
354116082,,POINT (-87.6647766 41.9078103),,,school,,183,031,09/30/1999
354116464,,POINT (-87.6948316 41.8183002),,,school,,182,031,01/15/1980
354116498,,POINT (-87.676802 41.7252916),,,school,,201,031,01/15/1980
354116609,,POINT (-87.7358908 41.9272541),,,school,,184,031,01/15/1980
354116701,,POINT (-87.6950553 41.8994767),,,school,,182,031,09/30/1999
354116914,,POINT (-87.6419945 41.7769781),,,school,,183,031,09/30/1999
354116971,,POINT (-87.7658908 41.889754),,,school,,188,031,01/15/1980
354116991,,POINT (-87.7788758 41.789509),Potlatch 0.10f,,school,,187,031,01/15/1980
